[11-Jan-2022 21:07:51 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 72
[11-Jan-2022 21:07:51 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:07:51 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:07:51 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:07:51 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:08:17 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:08:17 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:08:17 UTC] PHP Notice:  Undefined index: err in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:08:17 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:08:17 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:09:34 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:09:34 UTC] PHP Notice:  Undefined index: nameErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:09:34 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:09:34 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:09:34 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:09:34 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:09:34 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 133
[11-Jan-2022 21:11:07 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 21:11:07 UTC] PHP Notice:  Undefined index: nameErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:11:07 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 119
[11-Jan-2022 21:11:07 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
[11-Jan-2022 21:11:07 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 124
